Date,Latitude,Longitude,Humidity,Temperature,Fire
2023-04-12,47.09998090921993,80.09999999999903,2933.271955832113,2506.4084003790663,1
2023-04-27,47.09998090921993,80.09999999999903,3324.05441469559,2849.8490938479067,1
2023-04-12,47.09998090921987,80.29999999999966,3138.6050876982517,2704.043907252556,1
2023-04-27,47.09998090921987,80.29999999999966,3505.5286410886665,2998.8217199068854,1
2023-04-12,47.09998090921943,80.4999999999997,3258.8773136888094,2874.8486058574476,1
2023-04-27,47.09998090921943,80.4999999999997,3603.3801634521506,3130.855106647548,1
2023-04-12,47.0999809092197,80.70000000000165,3621.950310044858,3150.1780021150216,1
2023-04-19,47.0999809092197,80.70000000000165,2357.4478301015693,1911.4638554216867,1
2023-04-27,47.0999809092197,80.70000000000165,3694.8071513541604,3171.430478241986,1
2023-04-07,47.0999809092199,80.89999999999885,3883.5353185595663,3443.54085872577,1
2023-04-12,47.0999809092199,80.89999999999885,3714.544877926948,3259.4079140180097,1
2023-04-19,47.0999809092199,80.89999999999885,4136.978769589704,3621.394636612783,1
2023-04-19,47.0999809092199,80.89999999999885,4265.212257617738,3670.886772853191,1
2023-04-27,47.0999809092199,80.89999999999885,3810.230430388895,3318.4921130013195,1
2023-04-07,47.09998090921976,81.09999999999968,3694.521957909515,3329.817711983534,1
2023-04-12,47.09998090921976,81.09999999999968,3670.718175552888,3198.1526268859434,1
2023-04-19,47.09998090921976,81.09999999999968,4105.054707234687,3563.317623628054,1
2023-04-19,47.09998090921976,81.09999999999968,4116.272439825064,3596.497134084822,1
2023-04-27,47.09998090921976,81.09999999999968,3816.3585869798712,3311.2464360278545,1
2023-04-07,47.09998090921982,81.30000000000136,3534.779144433771,3232.9625185203095,1
2023-04-19,47.09998090921982,81.30000000000136,3945.475556911416,3487.843034735872,1
2023-04-07,47.09998090921958,81.4999999999994,3468.576273054484,3173.916859659397,1
2023-04-19,47.09998090921958,81.4999999999994,3878.1616460652663,3386.4524768176148,1
2023-04-07,47.099980909219006,81.70000000000056,3672.432774813009,3341.2927441960733,1
2023-04-19,47.099980909219006,81.70000000000056,3852.324161894002,3370.9215431789876,1
2023-04-07,47.099980909218814,81.8999999999995,3592.480013931488,3267.121036138645,1
2023-04-19,47.099980909218814,81.8999999999995,3727.505491454859,3199.56605811702,1
2023-04-07,47.09998090921955,82.09999999999982,3385.0066565798124,2982.490786058566,1
2023-04-19,47.09998090921955,82.09999999999982,3319.4038032152066,2761.618462569986,1
2023-04-07,47.0999809092201,82.29999999999968,2631.835062615705,2306.8393490367166,1
2023-04-07,47.0999809092201,82.29999999999968,2267.2929978660236,2039.163087787551,1
2023-04-19,47.0999809092201,82.29999999999968,2586.434797911461,2224.674868769148,1
2023-04-19,47.0999809092201,82.29999999999968,2413.9151419694026,2120.9885560013686,1
2023-04-19,47.099980909219916,82.5000000000011,2647.983777617173,2304.577218582076,1
2023-04-19,47.099980909219916,82.5000000000011,2704.572307848227,2355.2056150846406,1
2023-04-19,47.09998090921958,82.6999999999992,3191.64927204493,2724.9784479372292,1
2023-04-19,47.09998090921997,82.90000000000089,2982.94732206147,2544.695131718086,1
2023-04-19,47.09998090921985,83.09999999999988,2565.299492430605,2245.1598348598523,1
2023-04-19,47.099980909219546,83.29999999999875,2298.521770407298,2094.8379860671184,1
2023-04-26,47.099980909219546,83.29999999999875,2287.3523918605033,2036.1474749173624,1
2023-04-19,47.099980909219724,83.50000000000054,1989.0021396849495,1982.1942880401589,1
2023-04-26,47.099980909219724,83.50000000000054,1986.1701669837064,1848.0751375578106,1
2023-04-19,47.0999809092197,83.69999999999933,2269.958040373501,2134.933477967278,1
2023-04-19,47.0999809092197,83.69999999999933,2346.615100965268,2180.658114281692,1
2023-04-26,47.0999809092197,83.69999999999933,2533.289903693858,2258.5755557359257,1
2023-04-26,47.0999809092197,83.69999999999933,2626.4702053124793,2324.528662861976,1
2023-04-19,47.09998090922004,83.90000000000138,2980.7951277359834,2602.25439524275,1
2023-04-26,47.09998090922004,83.90000000000138,3341.562005797922,2860.0510079945593,1
2023-04-19,47.0999809092203,84.09999999999934,3532.1107592320595,3046.4514513733434,1
2023-04-26,47.0999809092203,84.09999999999934,3806.3305184557644,3277.9462442446143,1
2023-04-19,47.09998090921994,84.30000000000112,3504.218786624784,3031.025247539463,1
2023-04-19,47.09998090921994,84.30000000000112,3643.490048378112,3092.3043993355186,1
2023-04-26,47.09998090921994,84.30000000000112,4025.05342738378,3447.957690764653,1
2023-04-26,47.09998090921994,84.30000000000112,4227.75690130137,3528.1049320675565,1
2023-04-19,47.09998090921981,84.50000000000041,3070.7657422813613,2713.018447006696,1
2023-04-19,47.09998090921981,84.50000000000041,3069.8318616513616,2711.789027992929,1
2023-04-26,47.09998090921981,84.50000000000041,3763.8847845504692,3202.2609618905776,1
2023-04-26,47.09998090921981,84.50000000000041,3760.747188207706,3199.1986505813134,1
2023-04-19,47.099980909220086,84.69999999999982,3114.9722035915383,2772.7945945393935,1
2023-04-19,47.099980909220086,84.69999999999982,3114.777640947087,2772.638476241102,1
2023-04-26,47.099980909220086,84.69999999999982,3784.3104920928763,3308.0400510385216,1
2023-04-26,47.099980909220086,84.69999999999982,3782.5195267971467,3305.953703467042,1
2023-04-19,47.099980909220044,84.8999999999994,2827.6102940925,2439.2319654405624,1
2023-04-19,47.099980909220044,84.8999999999994,2828.7589555345075,2440.0530543776304,1
2023-04-26,47.099980909220044,84.8999999999994,3600.7915716895027,3101.5198505362655,1
2023-04-26,47.099980909220044,84.8999999999994,3598.5190253701016,3098.5712848927787,1
